country,date,new_subs
Angola,2023-09-11,1
Angola,2023-09-19,1
Argentina,2023-09-01,24
Argentina,2023-09-02,22
Argentina,2023-09-03,15
Argentina,2023-09-04,43
Argentina,2023-09-05,40
Argentina,2023-09-06,52
Argentina,2023-09-07,50
Argentina,2023-09-08,28
Argentina,2023-09-09,26
Argentina,2023-09-10,17
Argentina,2023-09-11,36
Argentina,2023-09-12,37
Argentina,2023-09-13,24
Argentina,2023-09-14,23
Argentina,2023-09-15,23
Argentina,2023-09-16,8
Argentina,2023-09-17,10
Argentina,2023-09-18,22
Argentina,2023-09-19,21
Argentina,2023-09-20,28
Argentina,2023-09-21,22
Argentina,2023-09-22,25
Argentina,2023-09-23,15
Argentina,2023-09-24,17
Argentina,2023-09-25,26
Argentina,2023-09-26,29
Argentina,2023-09-27,43
Argentina,2023-09-28,39
Argentina,2023-09-29,25
Argentina,2023-09-30,13
Australia,2023-09-30,1
Belgium,2023-09-08,1
Bolivia,2023-09-01,1
Bolivia,2023-09-13,1
Bolivia,2023-09-15,1
Bolivia,2023-09-17,1
Bolivia,2023-09-18,1
Bolivia,2023-09-19,3
Bolivia,2023-09-23,1
Bolivia,2023-09-24,1
Bolivia,2023-09-29,1
Bolivia,2023-09-30,1
Brazil,2023-09-01,3
Brazil,2023-09-02,2
Brazil,2023-09-04,3
Brazil,2023-09-05,2
Brazil,2023-09-06,3
Brazil,2023-09-08,1
Brazil,2023-09-09,1
Brazil,2023-09-10,1
Brazil,2023-09-11,3
Brazil,2023-09-12,3
Brazil,2023-09-13,1
Brazil,2023-09-14,4
Brazil,2023-09-15,2
Brazil,2023-09-16,6
Brazil,2023-09-17,1
Brazil,2023-09-18,4
Brazil,2023-09-19,3
Brazil,2023-09-20,3
Brazil,2023-09-21,6
Brazil,2023-09-22,7
Brazil,2023-09-23,1
Brazil,2023-09-24,1
Brazil,2023-09-25,3
Brazil,2023-09-26,2
Brazil,2023-09-27,2
Brazil,2023-09-28,1
Brazil,2023-09-29,4
Brazil,2023-09-30,1
Cabo Verde,2023-09-28,1
Cameroon,2023-09-05,1
Canada,2023-09-01,1
Canada,2023-09-14,1
Canada,2023-09-24,1
Chile,2023-09-01,10
Chile,2023-09-02,6
Chile,2023-09-03,4
Chile,2023-09-04,8
Chile,2023-09-05,9
Chile,2023-09-06,8
Chile,2023-09-07,12
Chile,2023-09-08,7
Chile,2023-09-09,7
Chile,2023-09-10,7
Chile,2023-09-11,6
Chile,2023-09-12,11
Chile,2023-09-13,15
Chile,2023-09-14,19
Chile,2023-09-15,11
Chile,2023-09-16,3
Chile,2023-09-17,3
Chile,2023-09-18,2
Chile,2023-09-19,4
Chile,2023-09-20,18
Chile,2023-09-21,20
Chile,2023-09-22,10
Chile,2023-09-23,4
Chile,2023-09-25,18
Chile,2023-09-26,15
Chile,2023-09-27,18
Chile,2023-09-28,13
Chile,2023-09-29,21
Chile,2023-09-30,5
Colombia,2023-09-01,3
Colombia,2023-09-02,1
Colombia,2023-09-03,1
Colombia,2023-09-04,2
Colombia,2023-09-05,1
Colombia,2023-09-06,4
Colombia,2023-09-07,2
Colombia,2023-09-08,6
Colombia,2023-09-09,2
Colombia,2023-09-10,1
Colombia,2023-09-11,2
Colombia,2023-09-13,8
Colombia,2023-09-14,9
Colombia,2023-09-15,3
Colombia,2023-09-16,2
Colombia,2023-09-17,2
Colombia,2023-09-18,3
Colombia,2023-09-19,2
Colombia,2023-09-20,7
Colombia,2023-09-21,5
Colombia,2023-09-22,7
Colombia,2023-09-23,5
Colombia,2023-09-25,2
Colombia,2023-09-27,5
Colombia,2023-09-28,4
Colombia,2023-09-29,2
Colombia,2023-09-30,3
Congo,2023-09-28,1
Costa Rica,2023-09-03,1
Costa Rica,2023-09-05,1
Costa Rica,2023-09-08,1
Costa Rica,2023-09-11,1
Costa Rica,2023-09-12,1
Costa Rica,2023-09-13,2
Costa Rica,2023-09-14,1
Costa Rica,2023-09-15,2
Costa Rica,2023-09-17,1
Costa Rica,2023-09-19,1
Costa Rica,2023-09-20,2
Costa Rica,2023-09-22,1
Costa Rica,2023-09-24,1
Costa Rica,2023-09-28,3
Costa Rica,2023-09-29,1
Cuba,2023-09-04,1
Cuba,2023-09-27,1
Curaçao,2023-09-18,1
Denmark,2023-09-06,1
Dominican Republic,2023-09-01,1
Dominican Republic,2023-09-14,1
Dominican Republic,2023-09-17,1
Dominican Republic,2023-09-18,1
Dominican Republic,2023-09-29,1
Ecuador,2023-09-05,1
Ecuador,2023-09-06,1
Ecuador,2023-09-11,2
Ecuador,2023-09-12,2
Ecuador,2023-09-15,2
Ecuador,2023-09-19,1
Ecuador,2023-09-20,1
Ecuador,2023-09-22,2
Ecuador,2023-09-25,1
Ecuador,2023-09-27,2
El Salvador,2023-09-07,1
El Salvador,2023-09-17,1
El Salvador,2023-09-20,1
El Salvador,2023-09-29,1
Error: ,2023-09-04,3
Error: ,2023-09-05,1
Error: ,2023-09-07,1
Error: ,2023-09-10,1
Error: ,2023-09-14,1
Error: ,2023-09-19,2
Error: ,2023-09-24,1
France,2023-09-07,1
France,2023-09-17,1
France,2023-09-20,1
France,2023-09-22,1
France,2023-09-25,1
France,2023-09-26,1
Gabon,2023-09-01,1
Germany,2023-09-13,1
Germany,2023-09-27,2
Guatemala,2023-09-01,1
Guatemala,2023-09-21,2
Guatemala,2023-09-24,1
Guatemala,2023-09-30,2
Honduras,2023-09-18,1
Indonesia,2023-09-07,2
Indonesia,2023-09-27,1
Israel,2023-09-04,1
Israel,2023-09-05,2
Israel,2023-09-08,1
Israel,2023-09-10,1
Israel,2023-09-13,1
Israel,2023-09-24,2
Israel,2023-09-26,2
Israel,2023-09-27,1
Israel,2023-09-30,1
Italy,2023-09-13,1
Italy,2023-09-14,1
Italy,2023-09-16,2
Italy,2023-09-17,1
Italy,2023-09-18,1
Italy,2023-09-20,1
Italy,2023-09-22,1
Italy,2023-09-23,1
Italy,2023-09-26,1
Italy,2023-09-29,1
Jordan,2023-09-15,1
Mexico,2023-09-01,2
Mexico,2023-09-02,2
Mexico,2023-09-03,1
Mexico,2023-09-04,1
Mexico,2023-09-05,3
Mexico,2023-09-06,2
Mexico,2023-09-07,2
Mexico,2023-09-08,1
Mexico,2023-09-09,2
Mexico,2023-09-10,3
Mexico,2023-09-11,2
Mexico,2023-09-13,1
Mexico,2023-09-14,2
Mexico,2023-09-15,4
Mexico,2023-09-16,1
Mexico,2023-09-17,2
Mexico,2023-09-18,2
Mexico,2023-09-19,4
Mexico,2023-09-20,6
Mexico,2023-09-21,2
Mexico,2023-09-22,5
Mexico,2023-09-23,5
Mexico,2023-09-25,6
Mexico,2023-09-26,6
Mexico,2023-09-27,1
Mexico,2023-09-28,2
Mexico,2023-09-29,1
Mexico,2023-09-30,5
Morocco,2023-09-05,1
Morocco,2023-09-08,1
Mozambique,2023-09-25,1
Netherlands,2023-09-17,1
Netherlands,2023-09-30,1
New Zealand,2023-09-10,1
Nicaragua,2023-09-28,1
Niger,2023-09-06,1
Panama,2023-09-05,1
Panama,2023-09-11,1
Panama,2023-09-14,1
Panama,2023-09-15,1
Panama,2023-09-16,1
Panama,2023-09-18,1
Panama,2023-09-20,1
Panama,2023-09-23,1
Panama,2023-09-27,1
Paraguay,2023-09-03,1
Paraguay,2023-09-04,1
Paraguay,2023-09-05,1
Paraguay,2023-09-06,3
Paraguay,2023-09-07,1
Paraguay,2023-09-11,1
Paraguay,2023-09-12,1
Paraguay,2023-09-13,1
Paraguay,2023-09-14,1
Paraguay,2023-09-15,3
Paraguay,2023-09-17,2
Paraguay,2023-09-18,1
Paraguay,2023-09-19,1
Paraguay,2023-09-20,5
Paraguay,2023-09-24,1
Paraguay,2023-09-26,1
Paraguay,2023-09-27,2
Paraguay,2023-09-29,1
Peru,2023-09-02,1
Peru,2023-09-03,1
Peru,2023-09-04,2
Peru,2023-09-05,2
Peru,2023-09-06,1
Peru,2023-09-08,1
Peru,2023-09-10,1
Peru,2023-09-11,1
Peru,2023-09-12,2
Peru,2023-09-13,2
Peru,2023-09-14,3
Peru,2023-09-15,1
Peru,2023-09-16,1
Peru,2023-09-18,4
Peru,2023-09-20,1
Peru,2023-09-22,1
Peru,2023-09-25,1
Peru,2023-09-26,2
Peru,2023-09-27,2
Peru,2023-09-28,1
Puerto Rico,2023-09-06,1
Puerto Rico,2023-09-15,1
Qatar,2023-09-28,1
Romania,2023-09-04,1
Slovakia,2023-09-04,1
Slovakia,2023-09-25,1
South Africa,2023-09-01,1
South Africa,2023-09-06,1
South Africa,2023-09-08,1
South Africa,2023-09-15,2
South Africa,2023-09-19,1
South Africa,2023-09-20,1
South Africa,2023-09-22,1
Spain,2023-09-02,2
Spain,2023-09-03,1
Spain,2023-09-05,2
Spain,2023-09-08,3
Spain,2023-09-10,1
Spain,2023-09-12,2
Spain,2023-09-14,3
Spain,2023-09-15,9
Spain,2023-09-16,1
Spain,2023-09-17,1
Spain,2023-09-18,5
Spain,2023-09-19,4
Spain,2023-09-20,4
Spain,2023-09-21,7
Spain,2023-09-22,1
Spain,2023-09-23,3
Spain,2023-09-24,1
Spain,2023-09-25,1
Spain,2023-09-26,5
Spain,2023-09-27,6
Spain,2023-09-28,7
Spain,2023-09-29,3
Spain,2023-09-30,5
United Arab Emirates,2023-09-20,1
United Arab Emirates,2023-09-25,1
United Kingdom,2023-09-06,1
United Kingdom,2023-09-10,1
United Kingdom,2023-09-18,2
United Kingdom,2023-09-19,1
United Kingdom,2023-09-20,3
United Kingdom,2023-09-21,2
United Kingdom,2023-09-22,1
United Kingdom,2023-09-23,1
United Kingdom,2023-09-25,1
United Kingdom,2023-09-29,1
United States,2023-09-01,2
United States,2023-09-03,1
United States,2023-09-04,2
United States,2023-09-05,3
United States,2023-09-06,4
United States,2023-09-07,3
United States,2023-09-08,1
United States,2023-09-09,1
United States,2023-09-11,2
United States,2023-09-12,1
United States,2023-09-13,1
United States,2023-09-14,6
United States,2023-09-15,9
United States,2023-09-16,2
United States,2023-09-18,3
United States,2023-09-19,3
United States,2023-09-20,5
United States,2023-09-21,6
United States,2023-09-22,3
United States,2023-09-23,1
United States,2023-09-24,4
United States,2023-09-25,1
United States,2023-09-26,4
United States,2023-09-27,2
United States,2023-09-28,2
United States,2023-09-29,3
United States,2023-09-30,1
Uruguay,2023-09-02,3
Uruguay,2023-09-03,3
Uruguay,2023-09-04,4
Uruguay,2023-09-05,2
Uruguay,2023-09-07,2
Uruguay,2023-09-08,2
Uruguay,2023-09-09,1
Uruguay,2023-09-10,2
Uruguay,2023-09-11,4
Uruguay,2023-09-12,1
Uruguay,2023-09-13,2
Uruguay,2023-09-14,2
Uruguay,2023-09-15,3
Uruguay,2023-09-16,2
Uruguay,2023-09-17,5
Uruguay,2023-09-18,7
Uruguay,2023-09-19,6
Uruguay,2023-09-20,10
Uruguay,2023-09-21,5
Uruguay,2023-09-22,3
Uruguay,2023-09-23,3
Uruguay,2023-09-24,2
Uruguay,2023-09-25,6
Uruguay,2023-09-26,6
Uruguay,2023-09-27,1
Uruguay,2023-09-28,2
Uruguay,2023-09-29,3
Uruguay,2023-09-30,3
Venezuela,2023-09-01,1
Venezuela,2023-09-04,1
Venezuela,2023-09-05,3
Venezuela,2023-09-08,2
Venezuela,2023-09-10,1
Venezuela,2023-09-11,2
Venezuela,2023-09-12,1
Venezuela,2023-09-16,1
Venezuela,2023-09-19,1
Venezuela,2023-09-20,1
Venezuela,2023-09-21,1
Venezuela,2023-09-22,3
Venezuela,2023-09-23,1
Venezuela,2023-09-24,1
Venezuela,2023-09-25,1
Venezuela,2023-09-26,2
Venezuela,2023-09-27,2
Venezuela,2023-09-28,1
Venezuela,2023-09-29,3
Venezuela,2023-09-30,1
